"","year","selling_price","km_driven","fuel","seller_type","transmission","owner","mileage","engine","max_power","seats","torque","rpm","brand","car_type","age"
"2039",2019,750,24,"Diesel","Individual","Manual","First Owner",28.4,1248,74.02,5,190,2000,"Maruti","Small",2
"2040",2017,380,80,"Diesel","Individual","Manual","First Owner",25.32,1198,77,6,190,2250,"Mahindra","Medium",4
"2041",2012,400,138,"Diesel","Individual","Manual","First Owner",22.32,1582,126.32,5,259,2750,"Hyundai","Small",9
"2042",2003,50,147,"Petrol","Individual","Manual","Fourth & Above Owner",18.9,998,67.1,5,90,3500,"Maruti","Small",18
"2043",2017,750,60,"Diesel","Individual","Manual","First Owner",18.49,1493,100,7,240,2800,"Mahindra","Medium",4
"2044",2011,150,80,"Petrol","Individual","Manual","First Owner",18,995,62,5,90,4200,"Chevrolet","Small",10
"2045",2016,245,50,"Petrol","Individual","Manual","First Owner",22.74,796,47.3,5,69,3500,"Maruti","Small",5
"2046",2013,260,189,"Diesel","Individual","Manual","First Owner",21.02,1248,88.76,5,200,3000,"Tata","Small",8
"2047",2014,411,90,"Diesel","Individual","Automatic","Second Owner",21.21,1498,103.2,5,250,2500,"Volkswagen","Small",7
"2048",2014,450,56,"Diesel","Individual","Manual","First Owner",21.9,1396,88.76,5,219,2750,"Hyundai","Small",7
"2049",2012,1300,140,"Diesel","Individual","Automatic","Second Owner",18.88,1995,184,5,380,2750,"BMW","Small",9
"2050",2016,351,60,"Petrol","Individual","Manual","First Owner",23.1,998,67.04,5,90,3500,"Maruti","Small",5
"2051",2012,550,130,"Diesel","Individual","Manual","First Owner",15.1,2179,140,7,330,2800,"Mahindra","Medium",9
"2052",2013,1300,140,"Diesel","Individual","Automatic","Second Owner",18.88,1995,184,5,380,2750,"BMW","Small",8
"2053",2013,260,189,"Diesel","Individual","Manual","First Owner",21.02,1248,88.76,5,200,3000,"Tata","Small",8
"2054",2014,411,90,"Diesel","Individual","Automatic","Second Owner",21.21,1498,103.2,5,250,2500,"Volkswagen","Small",7
"2055",2014,450,56,"Diesel","Individual","Manual","First Owner",21.9,1396,88.76,5,219,2750,"Hyundai","Small",7
"2056",2012,1300,140,"Diesel","Individual","Automatic","Second Owner",18.88,1995,184,5,380,2750,"BMW","Small",9
"2057",2016,351,60,"Petrol","Individual","Manual","First Owner",23.1,998,67.04,5,90,3500,"Maruti","Small",5
"2058",2012,550,130,"Diesel","Individual","Manual","First Owner",15.1,2179,140,7,330,2800,"Mahindra","Medium",9
"2059",2013,1300,140,"Diesel","Individual","Automatic","Second Owner",18.88,1995,184,5,380,2750,"BMW","Small",8
"2060",2016,750,35,"Diesel","Individual","Manual","First Owner",20.45,1461,83.8,5,200,1900,"Nissan","Small",5
"2061",2015,800,35,"Diesel","Individual","Manual","First Owner",20.45,1461,83.8,5,200,1900,"Nissan","Small",6
"2062",2011,350,156,"Diesel","Individual","Manual","First Owner",11.57,2179,138.1,7,320,2700,"Tata","Medium",10
"2063",2013,200,90,"Petrol","Individual","Manual","First Owner",22.74,796,47.3,5,69,3500,"Maruti","Small",8
"2064",2008,150,60,"Diesel","Individual","Manual","Third Owner",17,1405,70,5,13,2500,"Tata","Small",13
"2065",2016,800,36,"Diesel","Individual","Manual","First Owner",19.01,1461,108.5,5,248,2250,"Nissan","Small",5
"2066",2017,350,20,"Petrol","Individual","Manual","Second Owner",21.1,814,55.2,5,74,4000,"Hyundai","Small",4
"2067",2011,350,160,"Diesel","Individual","Manual","First Owner",13.93,2179,138,7,320,2700,"Tata","Medium",10
"2068",2006,250,185,"Diesel","Individual","Manual","First Owner",12.7,2609,116.6,9,28,2200,"Mahindra","Large",15
"2069",2010,170,110,"Diesel","Individual","Manual","Second Owner",17,1405,71,5,135,2500,"Tata","Small",11
"2070",2018,395,10.8,"Petrol","Individual","Manual","First Owner",25.17,799,53.3,5,72,4386,"Renault","Small",3
"2071",2012,450,120,"Diesel","Individual","Manual","First Owner",15.96,2523,62.1,7,195,2200,"Mahindra","Medium",9
"2072",2019,500,15,"Petrol","Individual","Manual","First Owner",20.89,1197,81.8,5,113,4200,"Maruti","Small",2
"2073",2012,200,67.5,"Diesel","Individual","Manual","First Owner",12.2,1948,68,10,115,2500,"Tata","Large",9
"2074",2017,1200,30,"Diesel","Individual","Manual","First Owner",17.6,2179,153.86,7,400,2500,"Tata","Medium",4
"2075",2016,400,50,"Diesel","Individual","Manual","First Owner",25.32,1198,77,6,190,2250,"Mahindra","Medium",5
"2076",2016,650,100,"Diesel","Individual","Manual","First Owner",18.49,1493,100,7,240,2800,"Mahindra","Medium",5
"2077",2016,550,150,"Diesel","Individual","Manual","First Owner",15.96,2523,63,9,180,1500,"Mahindra","Large",5
"2078",2015,1100,110,"Diesel","Individual","Manual","First Owner",16,2179,140,7,330,2800,"Mahindra","Medium",6
"2079",2012,255,30,"Petrol","Individual","Manual","First Owner",22.74,796,47.3,5,69,3500,"Maruti","Small",9
"2080",2011,180,60,"Petrol","Individual","Manual","First Owner",19.7,796,46.3,5,62,3000,"Maruti","Small",10
"2081",2010,160,255,"Diesel","Individual","Manual","Second Owner",13,2489,95,8,220,2600,"Mahindra","Medium",11
"2082",2008,225,120,"Diesel","Individual","Manual","Second Owner",16.52,1991,123.7,5,305,2000,"Chevrolet","Small",13
"2083",2015,270,49.9,"Petrol","Individual","Manual","Second Owner",22.74,796,47.3,5,69,3500,"Maruti","Small",6
"2084",2012,310,86,"Diesel","Individual","Manual","First Owner",21.12,1248,88.8,5,200,3000,"Tata","Small",9
"2085",2015,225,71.85,"Petrol","Individual","Manual","First Owner",20.63,1198,67,5,104,4000,"Datsun","Small",6
"2086",2015,300,95,"Diesel","Individual","Manual","Third Owner",21.2,1248,75,5,197,1750,"Fiat","Small",6
"2087",2008,250,70,"Petrol","Individual","Manual","Fourth & Above Owner",17.5,1298,85.8,5,114,4000,"Maruti","Small",13
"2088",2011,180,35,"Petrol","Individual","Manual","First Owner",21.1,814,55.2,5,74,4000,"Hyundai","Small",10
"2089",2015,550,50,"Petrol","Individual","Manual","First Owner",20.85,1197,83.14,5,115,4000,"Maruti","Small",6
"2090",2007,300,120,"Diesel","Individual","Manual","Third Owner",13.6,2523,63,7,180,1500,"Mahindra","Medium",14
"2091",2015,900,145,"Diesel","Individual","Manual","First Owner",22.7,1582,126.2,5,259,2750,"Hyundai","Small",6
"2092",2012,255,190,"Diesel","Individual","Manual","Third Owner",19.9995,1421.6,79.611,5.25,181,2397.5,"Tata","Medium",9
"2093",2018,1530,40,"Diesel","Individual","Manual","First Owner",16,2179,138,7,330,2800,"Mahindra","Medium",3
"2094",2015,590,110,"Diesel","Individual","Manual","First Owner",27.39,1248,74,5,190,2000,"Maruti","Small",6
"2095",2017,2600,70,"Diesel","Individual","Automatic","First Owner",20.38,1968,143,5,320,3000,"Audi","Small",4
"2096",2016,475,110,"Diesel","Individual","Manual","First Owner",23.2,1248,73.94,5,190,2000,"Maruti","Small",5
"2097",2018,700,29,"Diesel","Individual","Manual","First Owner",24,1186,73.97,5,190,2250,"Hyundai","Small",3
"2098",2011,376,60,"Petrol","Individual","Manual","First Owner",18.9,998,67.1,5,90,3500,"Maruti","Small",10
"2099",2002,100,120,"Petrol","Individual","Manual","Fourth & Above Owner",15.4985,1496.5,73.405,5.65,119.45,3197.5,"Hyundai","Medium",19
"2100",2004,75,46,"Petrol","Individual","Manual","Fourth & Above Owner",16.1,796,37,4,59,2500,"Maruti","Small",17
"2101",2012,440,120,"Diesel","Individual","Automatic","Third Owner",11.79,2179,120,8,290,2800,"Mahindra","Medium",9
"2102",2016,390,80,"Petrol","Individual","Manual","First Owner",20.51,998,67.04,5,90,3500,"Maruti","Small",5
"2103",2012,725,159,"Diesel","Individual","Manual","Second Owner",12.8,2494,102,7,20,3400,"Toyota","Medium",9
"2104",2012,325,110,"Diesel","Individual","Manual","Second Owner",15.96,2523,62.1,7,195,2200,"Mahindra","Medium",9
"2105",2010,170,75,"Petrol","Individual","Manual","Second Owner",19.7,796,46.3,5,62,3000,"Maruti","Small",11
"2106",2010,215,120,"Diesel","Individual","Manual","Third Owner",19.3,1248,73.9,5,190,2000,"Maruti","Small",11
"2107",2010,350,110,"Petrol","Individual","Manual","Third Owner",17,1497,118,5,146,4800,"Honda","Small",11
"2108",2009,80,80,"Petrol","Individual","Manual","Fourth & Above Owner",18,995,62,5,90,4200,"Chevrolet","Small",12
"2109",2012,195,80,"Petrol","Individual","Manual","Second Owner",21.1,814,55.2,5,74,4000,"Hyundai","Small",9
"2110",2011,280,85,"Diesel","Individual","Manual","First Owner",17.9865,1601.55,98.9775,5.5,193.3,2967.5,"Maruti","Medium",10
"2111",2014,335,71,"Diesel","Dealer","Manual","First Owner",21.64,1461,84.8,5,200,2000,"Nissan","Small",7
"2112",2011,475,108,"Diesel","Dealer","Manual","First Owner",16,2179,140,7,330,2800,"Mahindra","Medium",10
"2113",2015,485,75,"Diesel","Dealer","Manual","First Owner",19.87,1461,83.8,5,200,1750,"Renault","Small",6
"2114",2018,650,22,"Petrol","Individual","Manual","Second Owner",21.56,1462,103.25,5,138,4400,"Maruti","Small",3
"2115",2014,1850,76.13,"Diesel","Individual","Automatic","First Owner",13.22,2967,241.4,5,580,3250,"Audi","Small",7
"2116",2018,700,30,"Petrol","Individual","Manual","Second Owner",18.6,1197,81.83,5,114,4000,"Hyundai","Small",3
"2117",2014,3000,65,"Diesel","Individual","Automatic","First Owner",12.07,2967,241.4,7,550,2750,"Audi","Medium",7
"2118",2018,900,60,"Diesel","Individual","Manual","First Owner",15.4,2523,75,7,200,2200,"Mahindra","Medium",3
"2119",2013,350,80,"Diesel","Individual","Manual","First Owner",22.07,1199,73.9,5,180,2000,"Volkswagen","Small",8
"2120",2005,285,80,"Petrol","Individual","Automatic","Second Owner",9,2997,218,5,196,5000,"Honda","Small",16
"2121",2012,1850,70,"Diesel","Individual","Automatic","First Owner",12.07,2967,241.4,7,550,2750,"Audi","Medium",9
"2122",2017,750,51.78,"Diesel","Dealer","Manual","First Owner",24.3,1248,88.5,5,200,1750,"Maruti","Small",4
"2123",2013,1650,64.79,"Diesel","Dealer","Automatic","First Owner",0,2179,115,5,400,2000,"Land Rover","Small",8
"2124",2018,600,20,"Petrol","Individual","Manual","First Owner",19.5,1199,88.76,5,110,4800,"Honda","Small",3
"2125",2018,565,19,"Petrol","Individual","Manual","First Owner",18.78,999,75,5,95,4300,"Volkswagen","Small",3
"2126",2000,86,46.95,"Petrol","Individual","Manual","First Owner",18.5,796,53,5,71,3500,"Daewoo","Small",21
"2127",2016,329,19,"Petrol","Individual","Manual","First Owner",20.63,1198,67,5,104,4000,"Datsun","Small",5
"2128",2016,650,50,"Diesel","Individual","Manual","First Owner",22.77,1498,98.59,5,205,3250,"Ford","Small",5
"2129",2015,822,60,"Diesel","Individual","Manual","First Owner",19.67,1582,126.2,5,259,2750,"Hyundai","Small",6
"2130",2013,345,100,"Diesel","Individual","Manual","Second Owner",19.01,1461,108.45,5,248,2250,"Renault","Small",8
"2131",2001,30,10,"Petrol","Individual","Manual","First Owner",17.3,993,60,5,78,4500,"Maruti","Small",20
"2132",2012,330,50,"Diesel","Individual","Manual","Second Owner",22.9,1248,74,5,190,2000,"Maruti","Small",9
"2133",2014,300,74.54,"Petrol","Individual","Manual","Second Owner",20.51,998,67.04,5,90,3500,"Maruti","Small",7
"2134",2009,200,90,"Petrol","Individual","Automatic","Second Owner",12.6,1586,103.3,5,145,4100,"Maruti","Small",12
"2135",2012,200,80,"Diesel","Individual","Manual","Second Owner",18.862,1265.25,68.6775,5.1,124.9,2982.5,"Tata","Medium",9
"2136",2010,90,70,"Petrol","Individual","Manual","Second Owner",18,995,62,5,90,4200,"Chevrolet","Small",11
"2137",2010,200,80,"Petrol","Individual","Manual","Second Owner",18.9,1061,67,5,84,3500,"Maruti","Small",11
"2138",2016,550,35,"Diesel","Individual","Manual","First Owner",24.4,1120,71,5,180,2500,"Hyundai","Small",5
"2139",2015,250,23.5,"Petrol","Individual","Manual","First Owner",18.6,1199,76.8,5,106,4400,"Chevrolet","Small",6
"2140",2017,975,82,"Diesel","Individual","Manual","First Owner",25.6,1498,97.9,5,200,1750,"Honda","Small",4
"2141",2014,900,100,"Diesel","Individual","Manual","Second Owner",12.99,2494,100.6,8,200,3600,"Toyota","Medium",7
"2142",2018,610,15,"Petrol","Individual","Manual","First Owner",18.6,1197,81.83,5,114,4000,"Hyundai","Small",3
"2143",2017,620,30,"Diesel","Individual","Manual","First Owner",27.39,1248,74,5,190,2000,"Maruti","Small",4
"2144",2016,400,30,"Petrol","Individual","Manual","First Owner",18.9,1197,82,5,114,4000,"Hyundai","Small",5
"2145",2019,500,11,"Petrol","Individual","Manual","First Owner",21.63,998,67,5,90,3500,"Maruti","Small",2
"2146",2017,200,140,"Petrol","Individual","Manual","First Owner",19.02,1198,67.05,7,104,4000,"Datsun","Medium",4
"2147",2016,360,110,"Diesel","Individual","Manual","First Owner",23,1248,88.7,5,200,3000,"Tata","Small",5
"2148",2012,252,48,"Petrol","Individual","Manual","First Owner",20.92,998,67.1,5,90,3500,"Maruti","Small",9
"2149",2012,280,70,"Diesel","Individual","Manual","Second Owner",22.9,1248,74,5,190,2000,"Maruti","Small",9
"2150",2018,510,70,"Petrol","Individual","Manual","Second Owner",22,1197,81.8,5,113,4200,"Maruti","Small",3
"2151",2016,1050,58,"Diesel","Individual","Manual","First Owner",15.4,1997,120,7,280,2800,"Mahindra","Medium",5
"2152",2005,60,90,"Petrol","Individual","Manual","Second Owner",17.3,993,60,5,78,4500,"Maruti","Small",16
"2153",2010,320,40,"Diesel","Individual","Manual","Second Owner",14,2498,112,7,260,2200,"Mahindra","Medium",11
"2154",2013,520,110,"Diesel","Individual","Manual","First Owner",12.05,2179,120,9,290,2800,"Mahindra","Large",8
"2155",2007,250,80,"Diesel","Individual","Manual","Second Owner",11.57,2179,138.1,7,320,2700,"Tata","Medium",14
"2156",2017,725,60,"Diesel","Individual","Manual","First Owner",24.3,1248,88.5,5,200,1750,"Maruti","Small",4
"2157",2015,585,50,"Diesel","Individual","Manual","First Owner",15.96,2523,62.1,7,195,2200,"Mahindra","Medium",6
"2158",2017,430,25,"Petrol","Individual","Manual","First Owner",23.84,1199,84,5,114,3500,"Tata","Small",4
"2159",2011,235,100,"Diesel","Individual","Manual","Second Owner",22.9,1248,74,5,190,2000,"Maruti","Small",10
"2160",2012,350,52,"Diesel","Individual","Manual","Third Owner",19.3,1248,73.9,5,190,2000,"Maruti","Small",9
"2161",2010,131,80,"Petrol","Individual","Manual","Third Owner",19.81,1086,68.05,5,99,4500,"Hyundai","Small",11
"2162",2016,450,85,"Diesel","Individual","Manual","First Owner",25.8,1498,98.6,5,200,1750,"Honda","Small",5
"2163",2016,750,83,"Diesel","Individual","Manual","First Owner",24.3,1248,88.5,5,200,1750,"Maruti","Small",5
"2164",2013,200,50,"Petrol","Individual","Manual","First Owner",22.74,796,47.3,5,69,3500,"Maruti","Small",8
"2165",2009,125,120,"Petrol","Individual","Manual","Fourth & Above Owner",18.9,1061,67,5,84,3500,"Maruti","Small",12
"2166",2014,500,100,"Diesel","Individual","Manual","First Owner",15.96,2523,62.1,7,195,2200,"Mahindra","Medium",7
"2167",2012,380,70,"Diesel","Individual","Manual","Third Owner",22.9,1248,74,5,190,2000,"Maruti","Small",9
"2168",2008,128,19,"Petrol","Individual","Manual","First Owner",19.7,796,46.3,5,62,3000,"Maruti","Small",13
"2169",2009,250,68.6,"Petrol","Individual","Manual","Third Owner",17,1497,118,5,146,4800,"Honda","Small",12
"2170",2017,690,60,"Diesel","Individual","Manual","First Owner",16.5,1493,70,7,195,2200,"Mahindra","Medium",4
"2171",2014,650,65,"Diesel","Individual","Manual","Second Owner",15.96,2523,62.1,7,195,2200,"Mahindra","Medium",7
"2172",2012,560,40,"Petrol","Individual","Manual","Second Owner",16.8,1497,116.3,5,146,4800,"Honda","Small",9
"2173",2012,120,160,"Diesel","Individual","Manual","Second Owner",19.9955,1377.4,72.707,5,145.8,2450,"Tata","Small",9
"2174",2016,400,25,"Petrol","Individual","Manual","First Owner",23.1,998,67.04,5,90,3500,"Maruti","Small",5
"2175",2012,200,29.5,"Petrol","Individual","Manual","First Owner",20.92,998,67.1,5,90,3500,"Maruti","Small",9
"2176",2018,950,13.89,"Petrol","Individual","Manual","First Owner",17,1591,121.3,5,151,4850,"Hyundai","Small",3
"2177",2016,300,50,"Petrol","Individual","Manual","Second Owner",22.74,796,47.3,5,69,3500,"Maruti","Small",5
"2178",2016,315,30,"Petrol","Individual","Manual","Second Owner",25.17,799,53.3,5,72,4386,"Renault","Small",5
"2179",2012,220,100,"Petrol","Individual","Manual","First Owner",22.74,796,47.3,5,69,3500,"Maruti","Small",9
"2180",2011,130,60,"Petrol","Individual","Manual","Second Owner",14.49,1399,92.7,5,127,3500,"Chevrolet","Small",10
"2181",2016,595,60,"Diesel","Individual","Manual","Second Owner",22.54,1396,88.73,5,219,2750,"Hyundai","Small",5
"2182",2011,110,120,"Diesel","Individual","Manual","First Owner",19.4,1405,70,5,135,2500,"Tata","Small",10
"2183",2017,680,13.5,"Petrol","Individual","Manual","First Owner",17,1497,121.36,5,150,4500,"Ford","Small",4
"2184",2013,280,52,"Diesel","Individual","Manual","First Owner",20.3,1248,75,5,197,1750,"Fiat","Small",8
"2185",2017,530,30,"Petrol","Individual","Manual","Second Owner",21.4,1197,83.1,5,115,4000,"Maruti","Small",4
"2186",2017,610,14,"Petrol","Individual","Manual","First Owner",19.1,1197,82,5,114,4000,"Hyundai","Small",4
"2187",2014,500,90,"Diesel","Individual","Manual","Second Owner",15.05,2179,147.9,7,320,3000,"Tata","Medium",7
"2188",2018,500,50,"Diesel","Individual","Manual","First Owner",24.7,1047,69,5,140,3000,"Tata","Small",3
"2189",2010,250,120,"Diesel","Individual","Manual","Second Owner",13,2489,95,8,220,2600,"Mahindra","Medium",11
"2190",2018,325,10,"Petrol","Individual","Manual","First Owner",21.1,814,55.2,5,74,4000,"Hyundai","Small",3
"2191",2018,550,10,"Petrol","Individual","Manual","First Owner",21.4,1197,83.1,5,115,4000,"Maruti","Small",3
"2192",2018,720,25,"Petrol","Individual","Manual","First Owner",20.73,1373,91.1,5,130,4000,"Maruti","Small",3
"2193",2017,950,20,"Petrol","Individual","Manual","First Owner",17,1591,121.3,5,151,4850,"Hyundai","Small",4
"2194",2013,350,60,"Diesel","Individual","Manual","First Owner",22.9,1248,74,5,190,2000,"Maruti","Small",8
"2195",2018,500,40,"Petrol","Individual","Manual","First Owner",18.9,1197,81.86,5,113,4000,"Hyundai","Small",3
"2196",2012,380,60,"Diesel","Individual","Manual","First Owner",19.3,1248,73.9,5,190,2000,"Maruti","Small",9
"2197",2015,380,50,"Petrol","Individual","Automatic","First Owner",16.9,1197,82,5,114,4000,"Hyundai","Small",6
"2198",2017,900,20,"Petrol","Individual","Manual","First Owner",17,1591,121.3,5,151,4850,"Hyundai","Small",4
"2199",2017,295,35,"Petrol","Individual","Manual","First Owner",24.7,796,47.3,5,69,3500,"Maruti","Small",4
"2200",2016,640,40,"Diesel","Individual","Manual","First Owner",28.09,1248,88.5,5,200,1750,"Maruti","Small",5
"2201",2018,790,60,"Diesel","Individual","Manual","First Owner",21.5,1497,108.5,5,260,2750,"Tata","Small",3
"2202",2015,625,20,"Petrol","Individual","Manual","First Owner",17.01,1591,121.4,5,154,4200,"Hyundai","Small",6
"2203",2017,604,30,"Petrol","Individual","Manual","Second Owner",17,1497,121.36,5,150,4500,"Ford","Small",4
"2204",2015,315,29,"Petrol","Individual","Manual","First Owner",23.95,998,67.05,5,90,3500,"Maruti","Small",6
"2205",2019,950,17,"Diesel","Individual","Manual","First Owner",20,1497,115,5,300,2500,"Mahindra","Small",2
"2206",2017,400,50,"Petrol","Individual","Manual","First Owner",20.51,998,67.04,5,90,3500,"Maruti","Small",4
"2207",2018,700,42,"Petrol","Individual","Automatic","First Owner",18.6,1368,98.63,5,132,4000,"Hyundai","Small",3
"2208",2011,700,120,"Diesel","Individual","Manual","Second Owner",12.8,2494,102,8,20,3400,"Toyota","Medium",10
"2209",2012,260,110,"Diesel","Individual","Manual","First Owner",21.03,1461,65,5,160,2000,"Mahindra","Small",9
"2210",2012,200,90,"Diesel","Individual","Manual","First Owner",23.57,1396,70,5,140,3000,"Tata","Small",9
"2211",2020,580,70,"Petrol","Individual","Manual","First Owner",23.26,1197,88.5,5,113,4400,"Maruti","Small",1
"2212",2011,330,66,"Diesel","Individual","Manual","Second Owner",20.5,1598,105,5,250,2500,"Volkswagen","Small",10
"2213",2011,400,70,"Diesel","Individual","Manual","Third Owner",16.2,1493,110,5,24,2750,"Hyundai","Small",10
"2214",2018,1350,5,"Petrol","Individual","Automatic","First Owner",14.8,1591,121.3,5,151,4850,"Hyundai","Small",3
"2215",2014,250,50,"Diesel","Individual","Manual","Second Owner",21.03,1461,65,5,160,2000,"Mahindra","Small",7
"2216",2019,725,25,"Petrol","Individual","Manual","First Owner",15.41,1598,103.2,5,153,3800,"Skoda","Small",2
"2217",2013,300,70,"Diesel","Individual","Manual","First Owner",23.4,1248,74,5,190,2000,"Maruti","Small",8
"2218",2006,120,40,"Petrol","Individual","Manual","Second Owner",16.1,796,37,4,59,2500,"Maruti","Small",15
"2219",2016,1175,110,"Diesel","Individual","Manual","First Owner",16,2179,140,7,330,2800,"Mahindra","Medium",5
"2220",2009,380,150,"Diesel","Individual","Manual","First Owner",13.93,2179,138,7,320,2700,"Tata","Medium",12
"2221",2014,400,45,"Diesel","Individual","Manual","First Owner",19.1,1405,70,5,135,2500,"Tata","Small",7
"2222",2005,140,90,"Diesel","Individual","Manual","Third Owner",16.1,1405,70,5,13,2500,"Tata","Small",16
"2223",2011,230,140,"Diesel","Individual","Manual","Second Owner",11.57,2179,138.1,7,320,2700,"Tata","Medium",10
"2224",2003,110,83,"Petrol","Individual","Manual","Second Owner",13.8,1299,70,5,10,2500,"Ford","Small",18
"2225",2011,550,106,"Diesel","Individual","Automatic","Second Owner",16.96,1968,138.1,5,320,2500,"Volkswagen","Small",10
"2226",2008,150,60,"Petrol","Individual","Manual","Fourth & Above Owner",15.26,1150,74.9,5,110,4400,"Chevrolet","Small",13
"2227",2017,265,40,"Petrol","Individual","Manual","Second Owner",16.8,796,34.2,8,59,2500,"Maruti","Medium",4
"2228",2011,300,138,"Petrol","Individual","Manual","Third Owner",17,1197,80,5,11,4000,"Hyundai","Small",10
"2229",2015,280,80,"Petrol","Individual","Manual","First Owner",22.74,796,47.3,5,69,3500,"Maruti","Small",6
"2230",2005,130,50,"Petrol","Individual","Manual","Second Owner",15.3,1341,83,5,115,3200,"Hyundai","Small",16
"2231",2015,350,50,"Petrol","Individual","Manual","First Owner",18.2,1199,82.4,5,108,5000,"Chevrolet","Small",6
"2232",2009,200,120,"Petrol","Individual","Manual","First Owner",18.5,1197,85.8,5,114,4000,"Maruti","Small",12
"2233",2018,550,24.4,"Petrol","Individual","Manual","First Owner",22,1197,81.8,5,113,4200,"Maruti","Small",3
"2234",2013,400,60,"Diesel","Individual","Manual","Second Owner",15.96,2523,62.1,7,195,2200,"Mahindra","Medium",8
"2235",2010,170,120,"Petrol","Individual","Manual","Second Owner",18.5,1197,85.8,5,114,4000,"Maruti","Small",11
"2236",2015,600,60,"Diesel","Individual","Manual","Second Owner",24.8,1396,88.7,5,219,2750,"Hyundai","Small",6
"2237",2011,130,100,"Petrol","Individual","Manual","Second Owner",19.7,796,46.3,5,62,3000,"Maruti","Small",10
"2238",2011,100,120,"Petrol","Individual","Manual","Second Owner",16.1,796,37,4,59,2500,"Maruti","Small",10
"2239",2016,310,27.5,"Petrol","Individual","Manual","First Owner",25.17,799,53.3,5,72,4386,"Renault","Small",5
"2240",2007,35,10,"Petrol","Individual","Manual","First Owner",16.1,796,37,4,59,2500,"Maruti","Small",14
"2241",2010,200,120,"Petrol","Individual","Manual","Third Owner",18.5,1197,80,5,11,4000,"Hyundai","Small",11
"2242",2009,270,70,"Diesel","Individual","Manual","Second Owner",17.885,1269.6,75.8775,5.15,103.25,3467.5,"Maruti","Medium",12
"2243",2015,650,80,"Diesel","Individual","Manual","First Owner",22.54,1396,88.73,5,219,2750,"Hyundai","Small",6
"2244",2013,210,120,"Petrol","Individual","Manual","First Owner",15.64,1193,64.1,5,100,2700,"Tata","Small",8
"2245",2015,510,90,"Diesel","Individual","Manual","First Owner",24.4,1120,71.01,5,180,2500,"Hyundai","Small",6
"2246",2013,230,70,"Diesel","Individual","Manual","First Owner",20,1399,68.1,5,160,2000,"Ford","Small",8
"2247",2014,410,188,"Diesel","Individual","Manual","Second Owner",19.01,1461,108.45,5,248,2250,"Renault","Small",7
"2248",2011,130,67.84,"Petrol","Individual","Manual","First Owner",18,995,62,5,90,4200,"Chevrolet","Small",10
"2249",2013,95,30,"Petrol","Individual","Manual","First Owner",25.4,624,37.48,4,51,500,"Tata","Small",8
"2250",2016,225,35,"Petrol","Individual","Manual","Second Owner",22.74,796,47.3,5,69,3500,"Maruti","Small",5
"2251",2010,257,150,"Diesel","Individual","Manual","Second Owner",17.6805,1519.55,85.665,5.45,162.6,2665,"Maruti","Medium",11
"2252",2017,775,100,"Diesel","Individual","Manual","First Owner",24.3,1248,88.5,5,200,1750,"Maruti","Small",4
"2253",2017,420,30,"Petrol","Individual","Manual","First Owner",20.51,998,67.04,5,90,3500,"Maruti","Small",4
"2254",2016,480,70,"Petrol","Individual","Manual","First Owner",18.9,1197,82,5,114,4000,"Hyundai","Small",5
"2255",2003,200,149.03,"Diesel","Individual","Manual","First Owner",16.2,1428.65,73.635,5.55,151.5,3207.5,"Toyota","Medium",18
"2256",2010,260,380,"Diesel","Individual","Manual","Second Owner",13.6,2523,63,7,180,1500,"Mahindra","Medium",11
"2257",2011,210,84.05,"Petrol","Individual","Manual","First Owner",19.55,1274.85,72.905,5,114,3105,"Toyota","Small",10
"2258",2018,600,15,"Petrol","Individual","Manual","First Owner",16.2,1199,74,5,110,4300,"Volkswagen","Small",3
"2259",2009,140,140,"Diesel","Individual","Manual","Second Owner",13.8,1399,68,5,160,2000,"Ford","Small",12
"2260",2010,130,120,"Petrol","Individual","Manual","Third Owner",19.7,796,35,8,6,3000,"Maruti","Medium",11
"2261",2007,195,112.88,"Diesel","Dealer","Manual","First Owner",25.2,1248,74,5,190,2000,"Maruti","Small",14
"2262",2013,210,135,"Diesel","Dealer","Manual","Second Owner",19.4,1405,70,5,135,2500,"Tata","Small",8
"2263",2006,130,80,"Petrol","Individual","Manual","Third Owner",18.9,998,67.1,5,90,3500,"Maruti","Small",15
"2264",2012,141,128,"Petrol","Individual","Manual","Third Owner",18.6,1199,79.4,5,108,4400,"Chevrolet","Small",9
"2265",2011,280,120,"Diesel","Individual","Manual","First Owner",13.6,2523,63,7,180,1500,"Mahindra","Medium",10
"2266",2010,350,30,"Petrol","Individual","Automatic","First Owner",12.6,1586,103.2,5,145,4100,"Maruti","Small",11
"2267",2018,575,70,"Petrol","Individual","Manual","First Owner",17,1198,108.5,5,170,4000,"Tata","Small",3
"2268",2015,550,41,"Petrol","Individual","Manual","First Owner",18.6,1197,81.83,5,114,4000,"Hyundai","Small",6
"2269",2011,420,28.1,"Petrol","Individual","Manual","First Owner",18.1615,1262.45,87.4595,5,131.25,3707.5,"Toyota","Small",10
"2270",2006,120,30,"Petrol","Individual","Manual","Second Owner",19.7,796,46.3,5,62,3000,"Maruti","Small",15
"2271",2015,320,30,"Petrol","Individual","Manual","First Owner",23.95,998,67.05,5,90,3500,"Maruti","Small",6
"2272",2011,250,35,"Petrol","Individual","Manual","First Owner",16.36,1495,93.7,5,124,3500,"Hyundai","Small",10
